period,tsin_id,sku,product_title,average_selling_price,success_fee,fulfilment_fee,total_claim_value,opening_balance,shipment_received,returns_received_into_goodstock,lost_in_transit_returns_found,other_inflow,total_inflow,shipped_to_customer,removal_orders_collected,removal_orders_disposed,other_outflow,total_outflow,closing_balance,stock_in_transit,removal_orders_awaiting_collection_or_being_processed,return_removal_orders_collected,returns_removal_order_disposed
The recon month in the format YYYYMM.,Takealot's unique product identifier.,Stock Keeping Unit - your internal product identifier.,The product title as shown on the product display page.,An average of your selling price for the last 3 months. This is the selling price used to calculate any losses owed to you.,"The success fee covers the referral fee, transactional costs, customer support, and platform support. It is calculated as percentage of your average selling price and used to calculate any losses owed to you. This amount is deducted from your claim when you are paid for losses owed to you.",The fulfilment fee for the product based on the fulfilment fee rate and product dimensions/weight at the point this report was generated. It is deducted from your payout based on the average selling price of the product when you are paid for losses owed to you.,"The amount you need to include on your invoice to Takealot to claim for lost stock. It is calculated by taking the average_selling price of an item, subtracting both the success_fee and the fulfillment_fee, and then multiplying the result by the other_outflow value. This final figure is what you will charge Takealot.","Total qty in all of Takealot's warehouses at the beginning of the period. This includes the qty buyable on takealot.com, being prepared for customers, in a receiving process into a Takealot warehouse or in a removal order before it is collected/disposed. It excludes any stock that has arrived at a Takealot warehouse, but has yet to be received into our system.",Qty received via shipments or is in the process of being received at a Takealot warehouse.,Qty received via returned stock that has been evaluated and put back into buyable stock.,Qty received back into the Takealot warehouses that were previously thought to be Lost in Transit.,Other increases in the period (e.g. stock found).,Total increase to the qty in Takealot's warehouses during the period. This is the sum of all inflow columns.,Qty shipped to customers in the period.,Qty collected by you in the period for good stock removal orders.,Qty prepared for you for good stock removal orders that has been disposed in the period due to non collection by you as per the seller T's&C's.,Other decreases in the period (e.g. stock lost). Please refer to the Seller Portal Knowledge base for more information on how to claim for stock losses.,Total decrease to the qty in Takealot's warehouses during the period. This is a sum of all outflow columns.,"Total qty in all of Takealot's warehouses at the end of the period. This includes the qty buyable on takealot.com, being prepared for customers, in a receiving process into a Takealot warehouse or in a removal order before it is collected/disposed. It excludes any stock that has arrived at a Takealot warehouse, but has yet to be received into our system.",Total qty in transit between Takealot warehouses.,Qty requested and prepared for removal orders submitted or awaiting collection by you. This does not include bad stock removal orders.,Qty collected by you in the period for bad stock removal orders,Qty prepared for bad stock removal orders that has been disposed in the period due to non collection by you as per the seller T's&C's.
202408,95767292,@-c90m170--1,KathOn - 2 Piece Leakproof Clear Glass Food Container - Blue,250,43.13,48.3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
202408,95768018,C160M250---1-1,Unique Alu Framed Fold Laundry Basket - 57CM - Black,350,60.38,48.3,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
202408,95768020,C160M250----2,Unique Alu Framed Fold Laundry Basket - 57CM - Grey,350,60.38,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
202408,95782685,c90m170--1-2,Wall Mounted Key Box Key Safe with combination - Silver,220,25.3,48.3,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
202408,95783207,c380m500.c98**,66w Rechargeable Nail Uv Lamp,552.5,88.95,34.5,429.05,9,1,0,0,0,1,5,0,0,1,5,5,0,1,0,0
202408,95783259,9902141915223,Astronaut Galaxy Star Projector Colorful Night Light With Music Player,410,47.15,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
202408,95783812,--c100m180-c98,360 Degree Rotating Mop With Bucket,230,31.74,48.3,0,8,0,0,0,0,0,2,0,0,0,2,6,0,0,1,0
202408,95806517,~c110-m190__1,1.2 L Double Wall Travel Tumbler Insulated Stainless Steel Travel Mug - Black,250,34.5,48.3,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
202408,95812045,C90M170--1-1,Plastic Storage Boxes x 2,240,41.4,48.3,0,0,2,0,0,0,2,1,0,0,0,1,1,0,0,0,0
202408,95816621,c80m160--1*/,Household Goods Plastic Storage Box -2 Sets,210,36.23,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,95821456,~c13-m83_*,Tempered Glass Screen Guard Protector for IPHONE XR,150,24.15,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,95821670,~c~40-/m110---,Portable Jewelry Case | Mini Box for Travel Accessories & Organization - Mint,160,22.08,34.5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
202408,95821678,c65m145--1,Rechargeable Portable Waterproof Hanging Camping Lamp,200,34.5,48.3,0,4,2,0,0,0,2,3,0,0,0,3,3,0,0,0,0
202408,95821722,c55m125---*1,Multi-Function Sewing Kits Portable Sewing Box Set,175,30.19,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,95824187,c145m235-1-c88,Outdoor Solar Powered Waterproof Animal Repeller with Motion Sensor,290,40.02,48.3,0,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0
202408,95824250,~C180-m280~,"Raining Cloud Night Light Mushroom Humidifier,Essential Oil With LED Light",327.6,41.44,48.3,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
202408,95944707,~c80-m160^,Dollhouse Play Set With Accessories,207,28.57,48.3,0,3,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
202408,95947865,c90m-170-1 c104-2,Wax Heater for Hair Removal - Blue,350,40.25,34.5,0,0,3,0,0,0,3,1,0,0,0,1,2,0,0,0,0
202408,95950790,c65m145---2--1,3 Compartment Toiletry Bag - Grey,300,51.75,48.3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
202408,95950854,C96M176-2--4,2 Psc Mini Transparent Office Desktop Trash Can - Grey,230,39.68,48.3,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
202408,95950855,C96M176-2--3,2 Psc Mini Transparent Office Desktop Trash Can - Transparent,250,43.13,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,95951362,c70m150---1,Untertop Bathroom Wash Storage Box,200,34.5,34.5,0,1,1,0,0,1,2,1,0,0,0,1,2,0,0,0,0
202408,95956824,c-110m-190--1,Gadget Boost Solar Security Dummy Camera Light With Remote,240,27.6,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,95958728,c55m125--2--9,21 Piece Household Portable Sewing Kit - Emarald,175,30.19,48.3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0
202408,95959195,c290m400--1-6,"Replacement Laptop Battery for HP HS03, HS04 240 G4, G4, 255 G5",490,56.35,48.3,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
202408,95965008,~C300-420--m,Make Up Nail Art Beauty Cosmetics Carry Vanity Organiser Case,500,69,34.5,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
202408,95989548,9902143831309,1 Piece Bamboo Desktop Jewellery Stand - Black - Unisex,200,41.4,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,95993010,*c80-m160--1-1,SEYGM - Non-Slip Travel Tumbler - 500ml - Green,220,30.36,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,95995025,c260m380--1-1,Spherical Drinks Dispenser With Built-In Ice Container,430,74.18,48.3,0,1,7,0,0,0,7,3,0,0,0,3,5,0,1,0,0
202408,95995035,~C34--M104^^,Tabletop Spice Organizer,154,26.57,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,95995394,C50M120*-1,Sink Drain Strainer Basket Multifunction Foldable Corner Sink Strainer,170,21.51,48.3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
202408,96001696,C190M290--DNS,UFO Raindrop Diffuser and Humidifier,247.14,31.26,48.3,0,2,5,0,0,0,5,2,0,0,0,2,5,0,0,0,1
202408,96008139,~C70--m150**,38.5x26.3x2.2cm 24 Hole Muffin Cake Baking Tray DHB41,300,51.75,48.3,0,0,2,0,0,0,2,1,0,0,0,1,1,0,0,0,0
202408,96019795,~C50-M120---~##,Professional Locust Wood Baseball Bat,170,25.42,48.3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
202408,96022149,~c140-m230,Multifunctional Outdoor Foldable Picnic Storage Basket,280,38.64,48.3,0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
202408,96041051,c300-m420--1.,Portable Electric Polishing Nail Drill Art Set - Pink,590,94.99,34.5,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
202408,96047992,-c185-m285-14,3 Colors LED Crystal Table Lamp Dimmable Rechargeable Desk Lamp,320,55.2,48.3,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
202408,96067162,"~c60-m140~1,f42",Portable Foldable Double-Sided Makeup USB Mirror With LED Lights,190,32.78,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,96100308,c160m250--1-2,Replacement 14.85V 3.05A 45W Mag safe 2 Apple Laptop Charger,390,44.85,48.3,0,3,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0
202408,96103022,.-c30m10--1-1,Wall Mount Tv Stand For 14'-42' Led Lcd Tv,290,40.02,48.3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
202408,96106780,c240-m350__~1,"Travel Makeup Train Case, Makeup Cosmetic Case Organizer",397.33,68.54,48.3,0,4,7,0,0,0,7,5,0,0,0,5,6,0,0,0,0
202408,96114359,~c112m!192__~`1,Ceramic Modern Table Lamps Fabric Shade For Bedroom Living Room Hotel,350,60.38,48.3,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
202408,96199004,--c110-m190-.-1,Answer Buzzers Light and Sound,270,37.26,48.3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
202408,96203701,~C75-.M155~`0__),5 Piece Satin Sleeping Hair Bonnets,210,28.98,34.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
202408,96204948,*c220m330--3,Geometric Pattern Woolen Sofa Throw/ Blanket - Queen Size - Blue - Queen,400,69,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,96204949,*c220m330--2,Geometric Pattern Woolen Sofa Throw/ Blanket - Queen Size - Grey - Queen,400,69,48.3,0,3,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0
